gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
ak74u,0,legacy,,20260729,all,20,2167.40,11420,831,144040,1855080,32775.2,0.597,33,0,0,0
m16,0,fixed,,20260729,1-5,5,77.33,172,57,5120,0,0.0,0.000,0,0,0,0
m16,0,fixed,,20260729,6-10,5,184.02,943,149,17120,5112,89.7,0.210,1,0,0,0
m16,0,fixed,,20260729,11-15,5,447.98,2565,253,35980,292656,5175.9,0.906,7,0,0,0
m16,0,fixed,,20260729,16-20,5,1012.33,5938,372,70260,1048572,18520.0,0.975,19,0,0,0
m16,0,fixed,,20260729,all,20,1721.67,9618,831,128480,1346340,23785.6,0.523,27,0,0,0
m16,0,legacy,,20260729,1-5,5,77.85,172,57,5120,0,0.0,0.000,0,0,0,0
m16,0,legacy,,20260729,6-10,5,186.25,943,149,17200,5964,102.4,0.228,1,0,0,0
m16,0,legacy,,20260729,11-15,5,454.53,2565,253,36100,301368,5330.8,0.909,7,0,0,0
m16,0,legacy,,20260729,16-20,5,1026.00,5938,372,70260,1064604,18801.2,0.975,19,0,0,0
m16,0,legacy,,20260729,all,20,1744.63,9618,831,128680,1371936,24234.4,0.528,27,0,0,0
rpk,0,fixed,,20260729,1-5,5,82.42,186,57,5360,108,2.2,0.054,0,0,0,0
rpk,0,fixed,,20260729,6-10,5,175.48,1035,149,17640,2976,51.6,0.226,0,0,0,0
rpk,0,fixed,,20260729,11-15,5,400.75,2804,253,37450,228300,4041.5,0.902,5,0,0,0
rpk,0,fixed,,20260729,16-20,5,906.10,6624,372,75870,925116,16327.3,0.973,13,0,0,0
rpk,0,fixed,,20260729,all,20,1564.75,10649,831,136320,1156500,20422.6,0.539,18,0,0,0
rpk,0,legacy,,20260729,1-5,5,84.33,186,57,5360,108,2.2,0.053,0,0,0,0
rpk,0,legacy,,20260729,6-10,5,184.78,1035,149,17800,3744,69.0,0.233,0,0,0,0
rpk,0,legacy,,20260729,11-15,5,438.22,2804,253,37570,279600,4948.1,0.927,5,0,0,0
rpk,0,legacy,,20260729,16-20,5,996.58,6624,372,75910,1030920,18206.2,0.976,13,0,0,0
rpk,0,legacy,,20260729,all,20,1703.92,10649,831,136640,1314372,23225.5,0.547,18,0,0,0
pm63,0,fixed,,20260729,1-5,5,80.03,289,57,6100,36,0.8,0.017,0,0,0,0
pm63,0,fixed,,20260729,6-10,5,254.25,1645,149,22600,57012,1004.8,0.611,5,0,0,0
pm63,0,fixed,,20260729,11-15,5,669.68,4520,253,51780,562212,9965.6,0.958,20,0,0,0
pm63,0,fixed,,20260729,16-20,5,1574.98,10789,372,108630,1695360,29974.0,0.984,51,0,0,0
pm63,0,fixed,,20260729,all,20,2578.95,17243,831,189110,2314620,40945.2,0.642,76,0,0,0
pm63,0,legacy,,20260729,1-5,5,79.67,289,57,6100,36,0.7,0.014,0,0,0,0
pm63,0,legacy,,20260729,6-10,5,264.63,1645,149,22600,65808,1163.7,0.670,5,0,0,0
pm63,0,legacy,,20260729,11-15,5,698.18,4520,253,51540,593892,10531.7,0.961,20,0,0,0
pm63,0,legacy,,20260729,16-20,5,1642.25,10789,372,108630,1771656,31344.6,0.984,51,0,0,0
pm63,0,legacy,,20260729,all,20,2684.73,17243,831,188870,2431392,43040.7,0.657,76,0,0,0
m1911,0,fixed,,20260729,1-5,5,122.20,360,57,6540,8712,158.6,0.380,2,0,0,0
m1911,0,fixed,,20260729,6-10,5,689.22,2145,149,26230,448584,7987.3,0.946,24,0,0,0
m1911,0,fixed,,20260729,11-15,5,1854.62,5802,253,61860,1817328,32241.7,0.987,70,0,0,0
m1911,0,fixed,,20260729,16-20,5,4501.88,14123,372,134480,5041608,89653.3,0.995,174,0,0,0
m1911,0,fixed,,20260729,all,20,7167.92,22430,831,229110,7316232,130040.8,0.827,270,0,0,0
m1911,0,legacy,,20260729,1-5,5,123.68,360,57,6540,9144,166.9,0.386,2,0,0,0
m1911,0,legacy,,20260729,6-10,5,698.47,2145,149,26230,456384,8131.2,0.948,24,0,0,0
m1911,0,legacy,,20260729,11-15,5,1879.87,5802,253,61860,1844160,32712.3,0.987,70,0,0,0
m1911,0,legacy,,20260729,16-20,5,4563.55,14123,372,134480,5111400,90906.8,0.995,174,0,0,0
m1911,0,legacy,,20260729,all,20,7265.57,22430,831,229110,7421088,131917.2,0.829,270,0,0,0
