gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s
mp40,0,legacy,,20260729,8,0,36,850,30090,24,1.113,26,10,0,57.80,350,271,36,27.80,520.6,4910,3,1,8520,85.2,0.637,145.2,11,18.55
mp40,0,legacy,,20260729,9,0,41,950,38000,24,1.093,15,26,0,73.15,452,346,41,34.75,519.5,5990,2,1,22920,229.2,0.792,404.0,17,7.62
mp40,0,legacy,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,18.75,110,83,14,9.27,483.8,1770,0,0,2376,23.8,0.723,55.4,8,5.20
mp40,0,legacy,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,108.78,685,534,51,50.97,537.0,8650,3,2,72480,724.8,0.943,1278.2,24,6.25
mp40,0,legacy,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,132.72,833,634,56,62.55,524.2,9740,4,3,103260,1032.6,0.947,1828.4,24,6.18
mp40,0,legacy,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,156.58,983,749,61,74.13,529.8,11580,3,3,136740,1367.4,0.967,2412.8,24,5.12
mp40,0,legacy,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,175.85,1103,887,67,83.40,569.4,13140,4,4,160680,1606.8,0.968,2833.2,24,4.15
mp40,0,legacy,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,37.58,227,170,18,18.53,500.0,2800,1,0,8028,80.3,0.934,191.3,8,2.48
mp40,0,legacy,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,248.47,1590,1269,78,115.83,568.0,17630,4,6,257160,2571.6,0.979,4521.9,24,2.97
mp40,0,legacy,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,300.78,1919,1492,83,141.32,555.3,20310,3,7,329820,3298.2,0.986,5799.8,24,3.97
mp40,0,legacy,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,355.35,2275,1746,89,166.80,551.2,23150,4,8,396540,3965.4,0.991,6985.2,24,3.23
mp40,0,legacy,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,60.53,365,290,21,30.12,530.2,4350,1,1,15120,151.2,0.960,359.1,8,2.40
mp40,0,legacy,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,479.83,3088,2405,101,224.72,566.3,30740,2,11,555720,5557.2,0.993,9810.6,24,3.20
mp40,0,legacy,,20260729,21,0,107,2983,312618,24,0.537,0,24,83,546.95,3513,2767,107,257.15,571.6,34620,4,13,639660,6396.6,0.994,11295.6,24,3.10
mp40,0,legacy,,20260729,22,0,113,3281,360910,24,0.487,0,24,89,644.78,4144,3204,113,303.48,559.7,39690,4,16,761760,7617.6,0.995,13463.5,24,3.53
mp40,0,legacy,,20260729,23,1,25,3609,55940,8,0.210,0,2,23,98.90,635,497,25,46.33,565.6,6820,0,2,26928,269.3,0.974,642.6,8,2.58
mp40,0,legacy,,20260729,24,0,125,3970,486722,24,0.405,0,29,96,861.20,5552,4327,125,405.42,565.2,51360,4,21,1038000,10380.0,0.996,18372.1,24,3.17
mp40,0,legacy,,20260729,25,0,131,4367,561596,24,0.367,0,25,106,982.02,6352,4962,131,461.02,571.9,58130,4,24,1192740,11927.4,0.997,21127.0,24,3.32
ak74u,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.65,13,10,6,7.55,93.3,560,0,0,0,0.0,0.000,0.0,2,-1.00
ak74u,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,15.00,30,20,10,12.58,166.7,860,1,0,0,0.0,0.000,0.0,2,-1.00
ak74u,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,19.10,48,41,14,15.10,256.5,1350,1,0,0,0.0,0.000,0.0,2,-1.00
ak74u,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,24.28,79,62,18,17.62,333.6,1720,2,0,0,0.0,0.000,0.0,3,-1.00
ak74u,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.83,31,27,9,5.03,391.8,760,0,0,0,0.0,0.000,0.0,4,-1.00
ak74u,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,33.55,156,123,27,20.13,515.4,3140,1,0,0,0.0,0.000,0.0,3,-1.00
ak74u,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,38.52,211,165,31,20.13,576.4,3760,2,0,0,0.0,0.012,0.4,4,17.00
ak74u,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,49.22,278,212,36,25.17,611.4,4480,3,0,2160,21.6,0.424,32.6,7,23.17
ak74u,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,63.35,353,276,41,32.72,599.8,5570,3,1,11700,117.0,0.759,199.8,12,6.58
ak74u,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,18.22,94,66,14,10.07,497.9,1520,0,0,2124,21.2,0.694,49.4,8,5.57
ak74u,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,93.90,539,415,51,47.82,622.2,7500,2,1,53400,534.0,0.912,938.5,24,6.25
ak74u,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,110.77,648,506,56,55.37,628.1,8700,4,2,75600,756.0,0.929,1332.9,24,6.18
ak74u,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,133.22,767,585,61,67.95,622.8,10020,2,2,110160,1101.6,0.962,1941.2,24,5.12
ak74u,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,159.23,927,709,67,80.53,628.8,11680,4,3,145020,1450.2,0.974,2557.0,24,4.15
ak74u,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,29.33,166,133,18,15.10,640.7,2670,2,0,6012,60.1,0.914,140.8,8,2.48
ak74u,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,209.62,1228,970,78,105.70,673.2,14800,3,4,210840,2108.4,0.974,3712.5,24,2.97
ak74u,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,240.02,1410,1126,83,120.80,695.9,17010,3,5,256320,2563.2,0.983,4509.2,24,3.97
ak74u,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,290.45,1712,1329,89,145.97,674.3,19340,4,6,316560,3165.6,0.989,5564.0,24,3.23
ak74u,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,52.63,295,226,21,27.68,609.8,3510,1,1,12168,121.7,0.954,288.8,8,2.40
ak74u,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,409.32,2421,1869,101,206.37,663.9,24900,2,8,469020,4690.2,0.992,8272.4,24,3.20
ak74u,0,fixed,,20260729,21,0,107,2983,312618,24,0.537,0,24,83,456.30,2711,2104,107,229.02,685.1,28390,4,9,529800,5298.0,0.993,9346.0,24,3.10
ak74u,0,fixed,,20260729,22,0,113,3281,360910,24,0.487,0,24,89,516.60,3075,2422,113,259.22,698.6,31790,4,11,604440,6044.4,0.993,10668.8,24,3.53
ak74u,0,fixed,,20260729,23,1,25,3609,55940,8,0.210,0,2,23,82.65,475,376,25,42.78,676.8,5410,0,1,22248,222.5,0.969,531.2,8,2.58
ak74u,0,fixed,,20260729,24,0,125,3970,486722,24,0.405,0,29,96,718.82,4274,3300,125,362.40,677.1,41130,4,15,858180,8581.8,0.996,15178.8,24,3.17
ak74u,0,fixed,,20260729,25,0,131,4367,561596,24,0.367,0,25,106,812.13,4851,3804,131,407.70,691.5,46750,4,17,981540,9815.4,0.996,17368.4,24,3.32
ak74u,0,legacy,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.72,13,10,6,7.55,92.6,560,0,0,0,0.0,0.000,0.0,2,-1.00
ak74u,0,legacy,,20260729,2,0,10,250,2500,24,1.375,10,0,0,15.25,30,20,10,12.58,163.9,860,1,0,0,0.0,0.000,0.0,2,-1.00
ak74u,0,legacy,,20260729,3,0,14,350,4900,24,1.323,14,0,0,19.57,48,41,14,15.10,250.4,1350,1,0,0,0.0,0.000,0.0,2,-1.00
ak74u,0,legacy,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.18,79,62,18,17.62,321.6,1720,2,0,0,0.0,0.000,0.0,3,-1.00
ak74u,0,legacy,,20260729,5,1,9,550,3069,8,0.700,6,3,0,8.17,31,27,9,5.03,375.8,760,0,0,0,0.0,0.000,0.0,4,-1.00
ak74u,0,legacy,,20260729,6,0,27,650,17290,24,1.197,18,9,0,33.25,156,123,27,17.62,520.0,3100,1,0,60,0.6,0.012,0.4,3,24.55
ak74u,0,legacy,,20260729,7,0,31,750,22200,24,1.129,17,14,0,41.33,211,165,31,20.13,537.1,3640,3,0,240,2.4,0.109,4.8,6,12.72
ak74u,0,legacy,,20260729,8,0,36,850,30090,24,1.113,26,10,0,53.00,278,212,36,25.17,567.7,4480,3,0,5340,53.4,0.606,84.3,9,8.67
ak74u,0,legacy,,20260729,9,0,41,950,38000,24,1.093,15,26,0,68.17,353,276,41,32.72,557.5,5570,3,1,17280,172.8,0.844,294.1,13,6.58
ak74u,0,legacy,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,19.47,94,66,14,10.07,466.0,1520,0,0,2556,25.6,0.730,57.2,8,5.20
ak74u,0,legacy,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,101.48,539,415,51,47.82,575.7,7500,2,1,63960,639.6,0.927,1125.9,24,6.25
ak74u,0,legacy,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,119.98,648,506,56,55.37,579.9,8740,4,2,87540,875.4,0.947,1543.3,24,6.18
ak74u,0,legacy,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,144.08,767,585,61,67.95,575.8,10020,2,2,123420,1234.2,0.964,2175.7,24,5.12
ak74u,0,legacy,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,172.50,927,709,67,80.53,580.4,11680,4,3,160860,1608.6,0.976,2837.1,24,4.15
ak74u,0,legacy,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,31.63,166,133,18,15.10,594.1,2670,1,0,6624,66.2,0.921,155.4,8,2.48
ak74u,0,legacy,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,227.17,1228,970,78,105.70,621.2,14800,3,4,231840,2318.4,0.977,4082.0,24,2.97
ak74u,0,legacy,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,260.17,1410,1126,83,120.80,642.0,17010,3,5,280800,2808.0,0.985,4930.4,24,3.97
ak74u,0,legacy,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,314.87,1712,1329,89,145.97,622.1,19340,4,6,345840,3458.4,0.990,6077.5,24,3.23
ak74u,0,legacy,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,56.85,295,226,21,27.68,564.5,3510,1,1,13248,132.5,0.958,316.2,8,2.40
ak74u,0,legacy,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,444.23,2421,1869,101,206.37,611.7,24900,2,8,511800,5118.0,0.993,9023.4,24,3.20
ak74u,0,legacy,,20260729,21,0,107,2983,312618,24,0.537,0,24,83,495.47,2711,2104,107,229.02,631.0,28390,4,9,577260,5772.6,0.994,10187.9,24,3.10
ak74u,0,legacy,,20260729,22,0,113,3281,360910,24,0.487,0,24,89,561.13,3075,2422,113,259.22,643.2,31790,4,11,658080,6580.8,0.994,11624.4,24,3.53
ak74u,0,legacy,,20260729,23,1,25,3609,55940,8,0.210,0,2,23,89.42,475,376,25,42.78,625.6,5410,0,1,24300,243.0,0.971,578.0,8,2.58
ak74u,0,legacy,,20260729,24,0,125,3970,486722,24,0.405,0,29,96,781.00,4274,3300,125,362.40,623.2,41130,4,15,934200,9342.0,0.996,16529.8,24,3.17
ak74u,0,legacy,,20260729,25,0,131,4367,561596,24,0.367,0,25,106,882.57,4851,3804,131,407.70,636.3,46750,4,17,1068000,10680.0,0.996,18911.0,24,3.32
m16,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.47,8,6,6,7.85,95.1,520,0,0,0,0.0,0.000,0.0,2,-1.00
m16,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,15.17,28,20,10,13.08,164.8,780,1,0,0,0.0,0.000,0.0,2,-1.00
m16,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,18.97,42,34,14,15.70,258.3,1320,1,0,0,0.0,0.000,0.0,2,-1.00
m16,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,26.10,66,53,18,20.93,310.3,1590,1,0,0,0.0,0.000,0.0,3,-1.00
m16,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.63,28,22,9,5.23,402.1,910,1,0,0,0.0,0.000,0.0,4,-1.00
m16,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,34.88,138,112,27,23.55,495.7,2750,1,0,0,0.0,0.000,0.0,3,-1.00
m16,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,35.80,177,140,31,20.93,620.1,3390,3,0,0,0.0,0.000,0.0,4,-1.00
m16,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,44.12,243,181,36,23.55,682.1,4290,3,0,120,1.2,0.011,0.5,5,23.17
m16,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,54.58,306,238,41,28.78,696.2,4990,2,1,3660,36.6,0.459,58.7,8,13.07
m16,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,14.63,79,60,14,7.85,619.9,1700,1,0,1332,13.3,0.582,30.6,8,6.12
m16,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,79.60,452,348,51,41.87,733.9,6550,2,1,33960,339.6,0.828,592.3,20,7.48
m16,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,98.47,556,426,56,52.33,706.6,7940,4,2,57660,576.6,0.921,1014.4,24,6.18
m16,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,109.27,625,493,61,57.57,759.3,8820,2,2,79260,792.6,0.924,1392.7,24,7.38
m16,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,135.50,788,591,67,70.65,738.9,10340,4,2,116700,1167.0,0.960,2058.0,24,4.15
m16,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,25.15,144,115,18,13.08,747.3,2330,1,0,5076,50.8,0.896,118.5,8,2.48
m16,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,179.88,1046,820,78,94.20,784.5,13340,3,3,177480,1774.8,0.972,3128.5,24,2.97
m16,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,205.95,1205,947,83,107.28,811.0,14820,3,4,217080,2170.8,0.980,3825.3,24,4.22
m16,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,239.92,1404,1131,89,125.60,816.4,16920,4,5,257280,2572.8,0.987,4520.0,24,3.23
m16,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,43.60,245,191,21,23.55,736.1,3200,0,0,9900,99.0,0.945,237.4,8,2.40
m16,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,342.33,2028,1556,101,177.93,793.8,22410,2,7,388860,3888.6,0.991,6842.5,24,3.20
m16,0,fixed,,20260729,21,0,107,2983,312618,24,0.537,0,24,83,386.43,2285,1771,107,201.48,809.0,24700,4,8,449220,4492.2,0.992,7917.0,24,3.10
m16,0,fixed,,20260729,22,0,113,3281,360910,24,0.487,0,24,89,441.10,2611,2025,113,230.27,818.2,27500,4,9,515520,5155.2,0.992,9088.6,24,3.53
m16,0,fixed,,20260729,23,1,25,3609,55940,8,0.210,0,2,23,71.70,400,319,25,39.25,780.2,4880,1,1,18900,189.0,0.964,447.8,8,2.58
m16,0,fixed,,20260729,24,0,125,3970,486722,24,0.405,0,29,96,590.67,3507,2763,125,308.77,824.0,36160,4,12,705180,7051.8,0.995,12462.7,24,3.17
m16,0,fixed,,20260729,25,0,131,4367,561596,24,0.367,0,25,106,692.53,4126,3186,131,361.10,810.9,40410,4,15,836820,8368.2,0.995,14801.7,24,3.32
m16,0,legacy,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.48,8,6,6,7.85,94.9,520,0,0,0,0.0,0.000,0.0,2,-1.00
m16,0,legacy,,20260729,2,0,10,250,2500,24,1.375,10,0,0,15.25,28,20,10,13.08,163.9,780,1,0,0,0.0,0.000,0.0,2,-1.00
m16,0,legacy,,20260729,3,0,14,350,4900,24,1.323,14,0,0,19.10,42,34,14,15.70,256.5,1320,1,0,0,0.0,0.000,0.0,2,-1.00
m16,0,legacy,,20260729,4,0,18,450,8100,24,1.324,18,0,0,26.27,66,53,18,20.93,308.4,1590,1,0,0,0.0,0.000,0.0,3,-1.00
m16,0,legacy,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.75,28,22,9,5.23,396.0,910,1,0,0,0.0,0.000,0.0,4,-1.00
m16,0,legacy,,20260729,6,0,27,650,17290,24,1.197,18,9,0,35.20,138,112,27,23.55,491.2,2750,1,0,0,0.0,0.000,0.0,3,-1.00
m16,0,legacy,,20260729,7,0,31,750,22200,24,1.129,17,14,0,36.17,177,140,31,20.93,613.8,3390,3,0,0,0.0,0.000,0.0,3,-1.00
m16,0,legacy,,20260729,8,0,36,850,30090,24,1.113,26,10,0,44.70,243,181,36,23.55,673.2,4290,3,0,180,1.8,0.031,1.4,5,23.17
m16,0,legacy,,20260729,9,0,41,950,38000,24,1.093,15,26,0,55.35,306,238,41,28.78,686.5,5070,1,1,4380,43.8,0.520,69.2,9,13.07
m16,0,legacy,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,14.83,79,60,14,7.85,611.5,1700,1,0,1404,14.0,0.588,31.8,8,6.12
m16,0,legacy,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,80.73,452,348,51,41.87,723.6,6550,2,1,35340,353.4,0.834,620.7,21,7.48
m16,0,legacy,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,99.75,554,425,56,52.33,697.5,7930,4,2,60000,600.0,0.926,1052.0,24,6.18
m16,0,legacy,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,111.10,627,494,61,57.57,746.7,8950,2,2,81720,817.2,0.926,1436.7,24,7.38
m16,0,legacy,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,137.43,788,591,67,70.65,728.6,10340,4,2,119160,1191.6,0.961,2100.4,24,4.15
m16,0,legacy,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,25.52,144,115,18,13.08,736.5,2330,1,0,5148,51.5,0.897,120.9,8,2.48
m16,0,legacy,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,182.32,1046,820,78,94.20,774.1,13340,3,3,180660,1806.6,0.973,3180.7,24,2.97
m16,0,legacy,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,208.67,1205,947,83,107.28,800.5,14820,3,4,220320,2203.2,0.980,3882.8,24,4.22
m16,0,legacy,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,243.22,1404,1131,89,125.60,805.3,16920,4,5,261180,2611.8,0.987,4589.5,24,3.23
m16,0,legacy,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,44.22,245,191,21,23.55,725.8,3200,0,0,10152,101.5,0.946,241.6,8,2.40
m16,0,legacy,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,346.75,2028,1556,101,177.93,783.7,22410,2,7,394320,3943.2,0.991,6936.9,24,3.20
m16,0,legacy,,20260729,21,0,107,2983,312618,24,0.537,0,24,83,391.40,2285,1771,107,201.48,798.7,24700,4,8,455400,4554.0,0.992,8024.6,24,3.10
m16,0,legacy,,20260729,22,0,113,3281,360910,24,0.487,0,24,89,446.72,2611,2025,113,230.27,807.9,27500,4,9,522180,5221.8,0.992,9209.5,24,3.53
m16,0,legacy,,20260729,23,1,25,3609,55940,8,0.210,0,2,23,72.57,400,319,25,39.25,770.9,4880,1,1,19116,191.2,0.964,453.8,8,2.58
m16,0,legacy,,20260729,24,0,125,3970,486722,24,0.405,0,29,96,598.08,3507,2763,125,308.77,813.8,36160,4,12,714360,7143.6,0.995,12625.2,24,3.17
m16,0,legacy,,20260729,25,0,131,4367,561596,24,0.367,0,25,106,701.05,4126,3186,131,361.10,801.1,40410,4,15,847920,8479.2,0.995,14990.3,24,3.32
rpk,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,11.45,13,10,6,9.23,78.6,560,0,0,0,0.0,0.000,0.0,3,-1.00
rpk,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,16.50,30,20,10,13.85,151.5,860,1,0,0,0.0,0.000,0.0,3,-1.00
rpk,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,22.12,41,34,14,18.47,221.6,1320,1,0,0,0.0,0.000,0.0,4,-1.00
rpk,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.32,77,63,18,18.47,319.9,1690,2,0,0,0.0,0.000,0.0,4,-1.00
rpk,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.03,25,20,9,4.62,436.4,930,0,0,108,1.1,0.270,2.2,6,3.12
rpk,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,37.23,160,127,27,23.08,464.4,2980,1,0,120,1.2,0.065,2.4,4,4.13
rpk,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,35.92,196,153,31,18.47,618.1,3600,3,0,240,2.4,0.100,3.6,5,4.33
rpk,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,41.78,261,196,36,18.47,720.1,4280,3,0,300,3.0,0.090,3.7,5,4.15
rpk,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,47.87,329,258,41,18.47,793.9,5150,2,0,1020,10.2,0.213,12.8,5,5.65
rpk,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,12.68,89,69,14,4.62,715.2,1630,1,0,1296,13.0,0.661,29.0,8,4.30
