gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
ak74u,0,legacy,,20260729,all,20,2166.07,11406,831,143730,1851408,32708.0,0.597,33,0,0,0
m16,0,fixed,,20260729,1-5,5,77.33,172,57,5120,0,0.0,0.000,0,0,0,0
m16,0,fixed,,20260729,6-10,5,184.02,943,149,17120,5112,89.7,0.210,1,0,0,0
m16,0,fixed,,20260729,11-15,5,447.98,2565,253,35980,292656,5175.9,0.906,7,0,0,0
m16,0,fixed,,20260729,16-20,5,1011.68,5928,372,70690,1050600,18553.7,0.975,19,0,0,0
m16,0,fixed,,20260729,all,20,1721.02,9608,831,128910,1348368,23819.4,0.523,27,0,0,0
m16,0,legacy,,20260729,1-5,5,77.85,172,57,5120,0,0.0,0.000,0,0,0,0
m16,0,legacy,,20260729,6-10,5,186.25,943,149,17200,5964,102.4,0.228,1,0,0,0
m16,0,legacy,,20260729,11-15,5,454.53,2565,253,36100,301368,5330.8,0.909,7,0,0,0
m16,0,legacy,,20260729,16-20,5,1025.17,5928,372,70690,1066632,18831.4,0.975,19,0,0,0
m16,0,legacy,,20260729,all,20,1743.80,9608,831,129110,1373964,24264.6,0.528,27,0,0,0
rpk,0,fixed,,20260729,1-5,5,82.42,186,57,5360,108,2.2,0.054,0,0,0,0
rpk,0,fixed,,20260729,6-10,5,175.48,1035,149,17640,2976,51.6,0.226,0,0,0,0
rpk,0,fixed,,20260729,11-15,5,400.42,2800,253,37440,228264,4039.9,0.902,5,0,0,0
rpk,0,fixed,,20260729,16-20,5,905.40,6617,372,75930,924036,16306.7,0.974,13,0,0,0
rpk,0,fixed,,20260729,all,20,1563.72,10638,831,136370,1155384,20400.4,0.539,18,0,0,0
rpk,0,legacy,,20260729,1-5,5,84.33,186,57,5360,108,2.2,0.053,0,0,0,0
rpk,0,legacy,,20260729,6-10,5,184.78,1035,149,17800,3744,69.0,0.233,0,0,0,0
rpk,0,legacy,,20260729,11-15,5,437.82,2800,253,37560,279528,4946.2,0.926,5,0,0,0
rpk,0,legacy,,20260729,16-20,5,995.82,6617,372,75970,1030380,18185.6,0.976,13,0,0,0
rpk,0,legacy,,20260729,all,20,1702.75,10638,831,136690,1313760,23203.1,0.547,18,0,0,0
pm63,0,fixed,,20260729,1-5,5,80.03,289,57,6100,36,0.8,0.017,0,0,0,0
pm63,0,fixed,,20260729,6-10,5,254.25,1645,149,22600,57012,1004.8,0.611,5,0,0,0
pm63,0,fixed,,20260729,11-15,5,668.73,4513,253,51590,558696,9910.2,0.957,20,0,0,0
pm63,0,fixed,,20260729,16-20,5,1572.82,10787,372,108830,1694892,29971.2,0.983,51,0,0,0
pm63,0,fixed,,20260729,all,20,2575.83,17234,831,189120,2310636,40887.0,0.642,76,0,0,0
pm63,0,legacy,,20260729,1-5,5,79.67,289,57,6100,36,0.7,0.014,0,0,0,0
pm63,0,legacy,,20260729,6-10,5,264.63,1645,149,22600,65808,1163.7,0.670,5,0,0,0
pm63,0,legacy,,20260729,11-15,5,697.25,4513,253,51350,590556,10476.1,0.959,20,0,0,0
pm63,0,legacy,,20260729,16-20,5,1640.35,10787,372,108830,1772256,31349.0,0.984,51,0,0,0
pm63,0,legacy,,20260729,all,20,2681.90,17234,831,188880,2428656,42989.5,0.657,76,0,0,0
m1911,0,fixed,,20260729,1-5,5,122.20,360,57,6540,8712,158.6,0.380,2,0,0,0
m1911,0,fixed,,20260729,6-10,5,689.22,2145,149,26230,448584,7987.3,0.946,24,0,0,0
m1911,0,fixed,,20260729,11-15,5,1850.40,5792,253,61810,1814400,32179.2,0.987,70,0,0,0
m1911,0,fixed,,20260729,16-20,5,4499.63,14117,372,133900,5037948,89584.4,0.995,174,0,0,0
m1911,0,fixed,,20260729,all,20,7161.45,22414,831,228480,7309644,129909.5,0.827,270,0,0,0
m1911,0,legacy,,20260729,1-5,5,123.68,360,57,6540,9144,166.9,0.386,2,0,0,0
m1911,0,legacy,,20260729,6-10,5,698.47,2145,149,26230,456384,8131.2,0.948,24,0,0,0
m1911,0,legacy,,20260729,11-15,5,1875.62,5792,253,61810,1840644,32648.7,0.987,70,0,0,0
m1911,0,legacy,,20260729,16-20,5,4561.28,14117,372,133900,5108556,90837.5,0.995,174,0,0,0
m1911,0,legacy,,20260729,all,20,7259.05,22414,831,228480,7414728,131784.3,0.829,270,0,0,0
